,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_temp,workout_type
11,2,Afternoon Weight Training,0.0,3647,3647,0.0,WeightTraining,WeightTraining,8049820763,2022-10-31T21:43:06Z,2022-10-31T14:43:06Z,(GMT-07:00) Mexico/BajaSur,-25200.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,87.9,119.0,False,True,,,8615114515.0,8615114515,garmin_ping_245279101573,False,0,0,False,6.0,10993294,1,a8049820763,,2,,
12,2,Morning Stand Up Paddling,8915.9,4033,4787,7.3,StandUpPaddling,StandUpPaddling,8044417355,2022-10-30T16:54:46Z,2022-10-30T09:54:46Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,7,0,3,0,False,False,False,False,everyone,False,,"[32.78688261285424, -117.2118519153446]","[32.777424305677414, -117.21637822687626]",2.211,3.842,47.5,True,83.5,128.0,False,True,5.0,0.0,8608897195.0,8608897195,garmin_ping_245112885245,False,0,0,False,6.0,10993294,1,a8044417355,embgE~_ljUnAb@rCj@tBt@\Hv@J~C~@zAXhAZfBDfA?bDI`ABhAEz@?t@CxB_@xA]tAUjBUh@Mv@WzA{@j@Ur@QnH{BpFoApAu@VWLa@Gc@QS[IY?[DyEpAuChAuGrB}@VuBt@kD`Am@VIFABI?GDCAG?CAqCRcC?a@A{@K_@AmBBc@D]?c@CqAOa@BeBYc@CYKwAO_@MaASi@C}@S]MUKUC{Bi@kBo@kB}@w@i@]Og@A}@Ru@JS?QGG?I@IDCFFPD@TCtADTEB@n@@VFv@\fE|B~DbCn@f@z@x@pCtBTL|ALpCIx@@p@Hr@TX?hCMv@KlAa@bBa@rASjB_@fC[\ItCcA|Ac@bAMb@IvCcAbAc@|Ai@|@_@zDiAVSF[AWKWKI]CcAZaAP_@Je@Rq@RkAJgA\eEt@gEhAs@H_@H}Ab@cA\cDr@oBr@u@?gBOqBKoAKyACkAUw@Gs@OgCa@YEI@UJGP@VFZX^b@ThBx@~@XVDzCPvAP^BlBDjAErA?lAGr@@fBSLEVM`@]LEFIPMp@Mx@SvF{AjAWtA_@`Ck@`BUn@C^JJHNXf@rA?d@K`@S^o@t@[X}@h@w@\g@`@kAr@YTmBjCgAxB_A`B,2,,
13,2,Morning Stand Up Paddling,842.1,394,441,0.0,StandUpPaddling,StandUpPaddling,8042865266,2022-10-30T13:41:10Z,2022-10-30T06:41:10Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[32.77704770676792, -117.21650320105255]","[32.77759898453951, -117.21796659752727]",2.137,3.355,,True,128.4,168.0,False,True,0.8,0.0,8607045017.0,8607045017,garmin_ping_245080462180,False,0,0,False,2.0,10993294,1,a8042865266,is`gEhuljUZo@ZiAZ{@FCXEXCfAAd@I^KPMFSAUKQUEM@SNSVGTA`@ERS`@mBxCs@lAiAbBy@zA,2,,
14,2,Morning Stand Up Paddling,501.5,204,204,0.0,StandUpPaddling,StandUpPaddling,8042716471,2022-10-30T13:33:21Z,2022-10-30T06:33:21Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,,"[32.77451477944851, -117.21403338946402]","[32.777371080592275, -117.21806977875531]",2.458,3.48,66.7,True,122.5,158.0,False,True,0.2,0.0,8606864572.0,8606864572,garmin_ping_245078712294,False,0,0,False,0.0,10993294,1,a8042716471,sr`gEvyljUa@fA}@bB,2,,
15,2,Evening Weight Training,0.0,4317,4317,0.0,WeightTraining,WeightTraining,8039980367,2022-10-30T02:01:30Z,2022-10-29T19:01:30Z,(GMT-07:00) US/Arizona,-25200.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,90.5,154.0,False,True,,,8603768492.0,8603768492,garmin_ping_245006322592,False,0,0,False,8.0,10993294,1,a8039980367,,2,,
16,2,Morning Stand Up Paddling,11227.7,5170,6732,4.9,StandUpPaddling,StandUpPaddling,8040062379,2022-10-29T16:32:40Z,2022-10-29T09:32:40Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,4,3,2,0,False,False,False,False,everyone,False,,"[32.77732187882066, -117.21697619184852]","[32.77737200260162, -117.21637797541916]",2.172,3.947,42.0,True,85.6,113.0,False,True,5.0,0.0,8603863104.0,8603863104,garmin_ping_245009354378,False,0,0,False,8.0,10993294,1,a8040062379,_r`gEzyljUhA_@bB}@TQfAoAn@mAXa@r@q@p@aAt@cBFUFm@f@kARw@@OA_@Mk@S[c@a@o@M_BHm@HyAVULI@GDADDJa@HoANuACcAJ[?mC\oCP{BXyCHo@Ge@?wBNa@@w@DuASaAQaBUqA[y@KgDu@u@_@e@Mg@Uq@i@y@[o@e@sCg@o@CcBUwBMuBPgADOF]BuBHiAPc@Ri@b@Y`@a@d@KVFVFDXD`BU\AR@j@?XMTS`AcAXQd@KfAA\EzEr@x@TrATX@d@Jb@Nn@FlB^pIt@lC`@|Bf@nABz@Pj@BjA?r@F|BF`CWt@EtBa@|BObBUdBQdAEdDo@dCu@nAMrAYz@UrAkAJQFSAQIGEC}@D}Bf@uBZoAV{@Vs@PeAb@cDz@aAZuEhAyATqA^g@Hq@?e@Dw@XSBy@?UDm@BuA?WMQCu@Ds@CqASeBA_AQaACeASc@EeC_@}@Ug@IGEYIkAIaB]kBWeA[sAB{@LCDNH_@Uo@[SE{COmA@sDL]NO^D`@NJZBl@InAUtAc@^EzEBbBFxARr@FlAVtAb@F?|Aj@jAb@x@b@p@Rr@LjAZxC@vIRl@DdAAdAOnAD\Af@Id@On@KjA@h@CrA_@r@KdAKrBk@r@Ib@Qx@e@ZKbEgAd@IbBSr@M|@YbCW^WJ]A[QUKGc@Cm@LgAX[PYEi@H}Bn@gBn@cAXwAh@]DgACs@DsB`@q@TaBv@iBj@_ANsCX_@AeAg@sAG_AU}@Ak@G}@WqFS}Ae@uAUkA[s@IcAWU@QPAb@LXXPVLhAb@bAThB^nAZb@B~AZRFpBlAlAn@fBBn@L~@B|BAxBKvAC|AKfAApASV?l@Lr@XRLPVTj@H|@?dA_@~B,2,28.0,
17,2,Morning Stand Up Paddling,975.4,569,626,0.0,StandUpPaddling,StandUpPaddling,8038004781,2022-10-29T16:03:13Z,2022-10-29T09:03:13Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.77717477642, -117.21657251939178]","[32.777167316526175, -117.2165353037417]",1.714,3.681,58.2,False,,,False,False,1.5,0.0,8601485104.0,8601485104,garmin_ping_244947938975,False,0,0,False,,10993294,1,a8038004781,ss`gE|tljUf@w@p@yAPUTQb@{@VGVJRZARGLa@z@}BzD,2,20.0,
18,2,Morning Stand Up Paddling,783.5,416,455,0.0,StandUpPaddling,StandUpPaddling,8037993744,2022-10-29T15:49:10Z,2022-10-29T08:49:10Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.77717703953385, -117.21656749024987]","[32.777603259310126, -117.21794681623578]",1.883,2.966,,True,105.4,146.0,False,True,1.7,0.0,8601472505.0,8601472505,garmin_ping_244947706799,False,0,0,False,1.0,10993294,1,a8037993744,qt`gEjuljUPq@JWtA_CHUJo@JOPGRCP?LDPRH\AVBBABeBpD_@j@yBxDu@dASR,2,,
19,2,Morning Stand Up Paddling,803.2,442,442,0.0,StandUpPaddling,StandUpPaddling,8037938477,2022-10-29T15:33:16Z,2022-10-29T08:33:16Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.777209142223, -117.2166349645704]","[32.77735750190914, -117.21816063858569]",1.817,3.399,61.7,True,132.9,155.0,False,True,1.7,0.0,8601409864.0,8601409864,garmin_ping_244946619706,False,0,0,False,3.0,10993294,1,a8037938477,mt`gEdvljU`@y@`@eAj@aA^i@\u@LKTCb@AXILDAICb@mAxCw@vBgAzBsBbD,2,,
20,2,Morning Stand Up Paddling,759.9,426,469,0.0,StandUpPaddling,StandUpPaddling,8037937120,2022-10-29T15:21:15Z,2022-10-29T08:21:15Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.7771573420614, -117.21659196540713]","[32.777631087228656, -117.21797975711524]",1.784,2.594,,True,113.0,153.0,False,True,1.1,0.0,8601408386.0,8601408386,garmin_ping_244946592611,False,0,0,False,1.0,10993294,1,a8037937120,{s`gEluljU^kAn@_CHQTWh@[NCN@JFJLA`@@CQb@[j@oAzC]j@c@bAoBdD,2,,
21,2,Morning Stand Up Paddling,984.6,532,609,0.0,StandUpPaddling,StandUpPaddling,8037938929,2022-10-29T15:18:26Z,2022-10-29T08:18:26Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[32.77716471813619, -117.2165866009891]","[32.77716320939362, -117.21658567897975]",1.851,2.966,52.1,False,,,False,False,1.1,0.0,8601410459.0,8601410459,garmin_ping_244946629870,False,0,0,False,,10993294,1,a8037938929,mt`gExtljUXgA`@y@Xu@fAsA`@KZDHTAh@D@@HwBjEo@hA,2,17.0,
22,2,Morning Stand Up Paddling,835.8,412,441,0.0,StandUpPaddling,StandUpPaddling,8037922574,2022-10-29T15:00:41Z,2022-10-29T08:00:41Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.77697755023837, -117.21656732261181]","[32.77740661986172, -117.21807631663978]",2.029,3.406,,True,115.8,156.0,False,True,0.2,0.0,8601392141.0,8601392141,garmin_ping_244946320133,False,0,0,False,1.0,10993294,1,a8037922574,et`gEttljUN_@Rw@DK\e@n@k@PYXo@NQHG`@Gp@YXANFBHAFGL_@^e@r@HK?FYf@c@lA}AzC_DhF,2,,
23,2,Morning Stand Up Paddling,744.3,341,437,0.0,StandUpPaddling,StandUpPaddling,8037851144,2022-10-29T14:42:48Z,2022-10-29T07:42:48Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.777122808620334, -117.2165173664689]","[32.77764189988375, -117.21791789866984]",2.183,3.421,,True,100.4,145.0,False,True,1.2,0.0,8601310923.0,8601310923,garmin_ping_244944961065,False,0,0,False,0.0,10993294,1,a8037851144,at`gE`uljUNU`AcCfAiAV_@NEJFDLG\JK?BKTW^Qd@k@~@[j@Sf@u@nAw@~A_@h@Uj@MP,2,,
24,2,Morning Stand Up Paddling,974.8,606,757,0.0,StandUpPaddling,StandUpPaddling,8037937118,2022-10-29T14:26:11Z,2022-10-29T07:26:11Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.777182906866074, -117.21663915552199]","[32.7770917955786, -117.21650286577642]",1.609,2.906,,False,,,False,False,1.3,0.0,8601408420.0,8601408420,garmin_ping_244946593422,False,0,0,False,,10993294,1,a8037937118,ws`gEdvljU^o@Vs@tAoCZe@N?VTBLATe@v@eBrD,2,15.0,
25,2,Morning Stand Up Paddling,1060.7,607,1225,0.0,StandUpPaddling,StandUpPaddling,8037613076,2022-10-29T14:03:30Z,2022-10-29T07:03:30Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,,"[32.77723110280931, -117.21676060929894]","[32.777182990685105, -117.21663831733167]",1.747,2.967,54.6,False,,,False,False,1.3,0.0,8601042007.0,8601042007,garmin_ping_244940555521,False,0,0,False,,10993294,1,a8037613076,{s`gEbvljUp@cAV}AVaA`@c@^o@LQNKZIb@@DJA\SlAi@x@eCzE,2,15.0,
26,2,Morning Stand Up Paddling,937.5,539,828,0.0,StandUpPaddling,StandUpPaddling,8037611724,2022-10-29T13:47:42Z,2022-10-29T06:47:42Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,2,0,False,False,False,False,everyone,False,,"[32.77710109949112, -117.21652616746724]","[32.77722833678126, -117.21675851382315]",1.739,2.653,,False,,,False,False,1.2,0.0,8601040383.0,8601040383,garmin_ping_244940529320,False,0,0,False,,10993294,1,a8037611724,gt`gEbtljUZm@tA_Ch@c@^UTGVHHTAZ[z@Mt@YfAs@dBe@v@,2,16.0,
27,2,Morning Run,963.6,493,657,1.0,Run,Run,8034727039,2022-10-28T15:28:02Z,2022-10-28T08:28:02Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.777253398671746, -117.21671962179244]","[32.7772004250437, -117.21658978611231]",1.955,3.327,,False,,,False,False,4.8,2.4,8597784764.0,8597784764,garmin_ping_244872716558,False,0,0,False,,10993294,1,a8034727039,ut`gE|uljU~@mBX_@\q@f@o@Tk@JOTBP^CRKXcAjB]fAMj@]r@,2,18.0,
28,2,Morning Stand Up Paddling,859.5,452,452,0.0,StandUpPaddling,StandUpPaddling,8032566605,2022-10-28T15:12:05Z,2022-10-28T08:12:05Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[32.7769482973963, -117.21634453162551]","[32.77733654715121, -117.21805687062442]",1.902,3.274,,True,119.9,140.0,False,True,0.6,0.0,8595340322.0,8595340322,garmin_ping_244810293103,False,0,0,False,1.0,10993294,1,a8032566605,us`gEjrljU\u@\aA@UAiADYP]HGh@KR?d@Nf@@NBHNCRBf@EP[h@ADNK@EG^[dAw@hDo@hBYr@s@lAw@dA,2,,
29,2,Morning Run,922.3,489,989,1.0,Run,Run,8034726928,2022-10-28T15:10:26Z,2022-10-28T08:10:26Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.777188858017325, -117.21657830290496]","[32.77725717052817, -117.2166970744729]",1.886,3.044,,False,,,False,False,5.4,3.6,8597784652.0,8597784652,garmin_ping_244872711685,False,0,0,False,,10993294,1,a8034726928,it`gEruljUVo@d@iBZq@n@k@b@QFAd@DFTQ|@m@hBaBjD,2,17.0,
